1	KOWALIK, S.; BAŇKA, A. <i>Perspektivy rehabilitacehluchoslepých</i> 1. vyd. Wagner Press, 2000. ISBN 80-903019-0-8.
2	KUČERA, M. Školní etnografie: přehled problematiky. In<i>Studia paedagogika.</i> Sv. 8. Praha: PedF UK, 1992. 28 s.
3	KOUKOLÍK, F.; DRTILOVÁ, J. <i>Odlišné dítě.</i> Praha:Vyšehrad, 1994. 134 s. ISBN 80-7021-097-4.
4	TITZL, B. <i>Postižený člověk ve společnosti.</i> Praha: UK Pedagogická fakulta, 2000. 250 s. ISBN 80-86039-90-0.
5	PATOČKA, J. <i>Přirozený svět jako filozofický problém.</i>3.vyd. Praha: Československý spisovatel, 1992. 281 s. ISBN 80-202-0365-6.
6	SCHREIBER, M., aj. <i>Funkční somatologie.</i> Jinočany: H+H,1998. 467 s. ISBN 80-86022-28-5.
7	HRABAL, V.; HRABAL, V. <i>Diagnostika.</i> 2. vyd. Praha:Karolinum, 2001. 199 s.
8	PRŮCHA, J. <i>Alternativní školy.</i> Praha: Gaudeamus, 1994.109 s. ISBN 80-7041-972.
9	GADAMER, H. G. <i>Problém dějinného vědomí.</i> Praha: Filozofický ústav ČSAV, 1994. 53 s. ISBN 80-707-062-5.
10	POKORNÁ, V. <i>Poruchy chování u dětí a jejich náprava.</i>Praha: Karolinum, 1992. 68 s. ISBN 80-7066-600-5.
11	JIRÁSEK, J.; VANČUROVÁ, E.; HAVLÍNOVÁ, M. <i>Hrajeme si doopravdy.</i> 1.vyd. Praha: Avicenum, 1983. 112 s.
12	AITKEN, S.; BUULTJENS, M.; CLARK, C.; EYRE, J.; PEASE, L.<i>Teachining children who are deafblind.</i> London: 2000. 248 s.ISBN 1-85346-674-3 (překlad, bez redakčních úprav).
13	MURPHY, R. F. <i>Umlčené tělo.</i> 1.vyd. Praha:Sociologické nakladatelství, 2001. 188 s. ISBN 80-85850-98-2.
14	MONATOVÁ, L. <i>Pojetí speciální pedagogiky z vývojového hlediska.</i> Brno: Paido, 1996. 77 s. ISBN 80-85931-20-6.
15	MICHALOVÁ, Z., aj. <i>Speciálněpedagogická čítanka.</i>Praha: UK PedF, 2003. 171 s. ISBN 80-7290-109-5.
16	KEBLOVÁ, A., aj. <i>Náprava poruch binokulárního vidění.</i>1.vyd. Praha: Septima, 2000. 50 s. ISBN 80-7216-121-0.
17	PRESL, J. <i>Drogová závislost.</i> 2. rozš. vyd. Praha:Maxdorf, 1995. 88 s. ISBN 80-85800-25-X.
18	ŠEDIVÝ, V.; VÁLKOVÁ, H. <i>Lidé, alkohol, drogy.</i> 1.vyd.Praha: NV, 1988. 160 s.
19	STRAUSS, A.; CORBÍNOVÁ J. <i>Základy kvalitativního výzkumu.</i> 1.vyd. Boskovice: Albert, 1999. 228 s. ISBN 80-85834-60-X.
20	MATOUŠEK, O. <i>Rodina jako instituce a vztahová síť.</i>1.vyd. Praha: Slon, 1993. 124 s. ISBN 80-901424-7-8.
21	MATOUŠEK, O.; KROFTOVÁ, A. <i>Mládež a delikvence.</i>1.vyd. Praha: Portál, 1998. 336 s. ISBN 80-7178-226-2.
22	LANGMEIER, J.; MATĚJČEK, Z. <i>Psychická deprivace v dětství.</i> 3.vyd. Praha: Avicenum, 1974. 400 s.
23	MATOUŠEK, O. <i>Ústavní péče.</i> 1.vyd. Praha: Slon, 1995.141 s. ISBN 80-85850-08-7.
24	JELÍNKOVÁ, M. <i>Vzdělávání a výchova dětí s autismem.</i>Praha: UK Pedagogická fakulta, 2001. 104 s. ISBN 80-7290-042-0.
25	ROTGERS, F., aj. <i>Léčba drogových závislostí.</i> 1.vyd.Praha: Grada, 1999. 264 s. ISBN 80-7169-836-9.
26	WOLF, V.; WOLFOVÁ, H. <i>Pediatrie 2: pro 3. ročník středních zdravotních škol.</i> Praha: Informatorium, 2003. 244 s. ISBN 80-7333-023-7.
